BlockSK,BlockName,PSCSK,PSCName (Secured),PACSK,PACName,CountryCode,Region,AwardedAcre,AwardedAcreUOM,CurrentAcre,CurrentAcreUOM,MinWaterDepth,MinWaterDepthUOM,MaxWaterDepth,MaxWaterDepthUOM,IsActive,CreatedTimestamp,UpdatedTimestamp,DataSource
332,2W,0,NULL,0,NULL,MALAYSIA,SB,NULL,NULL,4513.10958900,KM2,-1080.00000000,m,-3180.00000000,m,NULL,2022-08-08,2022-08-08,R&M
87,SK318,228,BLOCK SK318 PSC,170,BLOCK SK318 PSC,MALAYSIA,SK,NULL,NULL,32.47632989,KM2,-90.00000000,m,-900.00000000,m,1,2022-08-04,2022-08-08,R&M
67,SK320,156,BLOCK SK320 PSC,163,BLOCK SK320 PSC,MALAYSIA,SK,NULL,NULL,4536.49118986,KM2,-10.00000000,m,-250.00000000,m,1,2022-08-04,2022-08-08,R&M
314,Deepwater Block 3E PSC,132,NULL,154,NULL,MYS,SK,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
346,MERANTI CLUSTER,0,NULL,0,NULL,MALAYSIA,PM,NULL,NULL,488.70985400,KM2,-50.00000000,m,-60.00000000,m,NULL,2022-08-08,2022-08-08,R&M
380,SK426,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,2359.67370865,KM2,-10.00000000,m,-30.00000000,m,NULL,2022-08-08,2022-08-08,R&M
359,PM524,0,NULL,0,NULL,MALAYSIA,PM,NULL,NULL,4446.04608000,KM2,-45.00000000,m,-80.00000000,m,NULL,2022-08-08,2022-08-08,R&M
88,SK306,193,BLOCK SK306 PSC,157,BLOCK SK306 PSC,MALAYSIA,SK,NULL,NULL,2673.51552486,KM2,-30.00000000,m,-110.00000000,m,1,2022-08-04,2022-08-08,R&M
13,SK310,237,BLOCK SK310 PSC,253,BLOCK SK310 PSC,MALAYSIA,SK,NULL,NULL,25.01513909,KM2,-80.00000000,m,-80.00000000,m,1,2022-08-04,2022-08-08,R&M
335,4E,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,7646.70549100,KM2,-120.00000000,m,-2080.00000000,m,NULL,2022-08-08,2022-08-08,R&M
14,Block SB303 PSC,146,NULL,179,NULL,MYS,SB,31.57999992,km2,31.57999992,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
300,Block PM313 PSC,184,NULL,157,NULL,MYS,PM,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
48,2006 DULANG FIELD,178,DULANG FIELD PSC,157,DULANG FIELD PSC,MALAYSIA,PM,NULL,NULL,560.19464731,KM2,-60.00000000,m,-70.00000000,m,1,2022-08-04,2022-08-08,R&M
25,SK411,196,BLOCK SK411 PSC,157,BLOCK SK411 PSC,MALAYSIA,SK,NULL,NULL,2052.92619831,KM2,-40.00000000,m,-140.00000000,m,1,2022-08-04,2022-08-08,R&M
301,Block PM316 PSC,130,NULL,153,NULL,MYS,PM,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
291,NORTH SABAH,225,2011 NORTH SABAH EOR PSC,250,2011 NORTH SABAH EOR PSC,MALAYSIA,SB,NULL,NULL,162.22516231,KM2,-10.00000000,m,-60.00000000,m,1,2022-08-04,2022-08-08,R&M
309,Block SB307/308 PSC (SB 307),148,NULL,179,NULL,MYS,SB,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
293,Angsi GPSC,139,NULL,157,NULL,MYS,PM,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
5,KINABALU DEEP AND EAST GAS FIELD,179,KINABALU DEEP & EAST GAS PSC,157,KINABALU DEEP & EAST GAS PSC,MALAYSIA,SB,NULL,NULL,22.37215812,KM2,-60.00000000,m,-60.00000000,m,1,2022-08-04,2022-08-08,R&M
77,2G,176,NULL,157,NULL,MYS,SB,1883.85998535,km2,1883.85998535,km2,-120.00000000,m,-1800.00000000,m,0,2022-08-04,2022-08-04,PiriGIS
75,SK309,161,BLOCK SK309 PSC,151,BLOCK SK309 PSC,MALAYSIA,SK,NULL,NULL,645.19931050,KM2,-20.00000000,m,-60.00000000,m,1,2022-08-04,2022-08-08,R&M
376,SK334,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,6656.91308544,KM2,10.00000000,m,2230.00000000,m,NULL,2022-08-08,2022-08-08,R&M
68,H,158,DEEPWATER BLOCK H PSC,151,DEEPWATER BLOCK H PSC,MALAYSIA,SB,NULL,NULL,2713.51563360,KM2,-110.00000000,m,-1910.00000000,m,1,2022-08-04,2022-08-08,R&M
320,Block SK408 PSC (SHELL operated),271,NULL,170,NULL,MYS,SK,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
388,UBAH CLUSTER,0,NULL,0,NULL,MALAYSIA,SB,NULL,NULL,83.49400600,KM2,-500.00000000,m,-1800.00000000,m,NULL,2022-08-08,2022-08-08,R&M
382,SK431,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,8962.36614279,KM2,10.00000000,m,950.00000000,m,NULL,2022-08-08,2022-08-08,R&M
55,KBM Cluster SF,245,NULL,153,NULL,MYS,PM,276.95999146,km2,276.95999146,km2,0.00000000,m,0.00000000,m,1,2022-08-04,2022-08-04,UMD
95,ND4,174,DEEPWATER BLOCK ND4 PSC,157,DEEPWATER BLOCK ND4 PSC,MALAYSIA,SB,NULL,NULL,10515.92916140,KM2,-900.00000000,m,-2900.00000000,m,1,2022-08-04,2022-08-08,R&M
2,SK407,255,BLOCK SK407 PSC,157,BLOCK SK407 PSC,MALAYSIA,SK,NULL,NULL,3810.23295200,KM2,-10.00000000,m,-80.00000000,m,1,2022-08-04,2022-08-08,R&M
31,3G,254,DEEPWATER BLOCK SB 3G PSC,157,DEEPWATER BLOCK SB 3G PSC,MALAYSIA,SB,NULL,NULL,482.63031146,KM2,-650.00000000,m,-1920.00000000,m,1,2022-08-04,2022-08-08,R&M
3,2C,210,DEEPWATER BLOCK 2C PSC,151,DEEPWATER BLOCK 2C PSC,MALAYSIA,SK,NULL,NULL,2.80248373,KM2,-1380.00000000,m,-1610.00000000,m,1,2022-08-04,2022-08-08,R&M
90,KUMANG CLUSTER,180,KUMANG CLUSTER PSC,157,KUMANG CLUSTER PSC,MALAYSIA,SK,NULL,NULL,684.34929262,KM2,-60.00000000,m,-100.00000000,m,1,2022-08-04,2022-08-08,R&M
333,3B,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,11003.78334700,KM2,-140.00000000,m,-1800.00000000,m,NULL,2022-08-08,2022-08-08,R&M
57,ABU LLA,253,BAKAWALI PSC,157,BAKAWALI PSC,MALAYSIA,PM,NULL,NULL,21.09791800,KM2,-61.00000000,m,-63.00000000,m,1,2022-08-04,2022-08-08,R&M
24,LIMBAYONG,181,LIMBAYONG PSC,157,LIMBAYONG PSC,MALAYSIA,SB,NULL,NULL,64.07048532,KM2,-870.00000000,m,-1140.00000000,m,1,2022-08-04,2022-08-08,R&M
33,SK417,256,BLOCK SK417 PSC,151,BLOCK SK417 PSC,MALAYSIA,SK,NULL,NULL,1550.02230676,KM2,-60.00000000,m,-790.00000000,m,1,2022-08-04,2022-08-08,R&M
370,SK324,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,5140.05144116,KM2,-10.00000000,m,-110.00000000,m,NULL,2022-08-08,2022-08-08,R&M
56,TEMBIKAI CHENANG,246,TEMBIKAI CHENANG SFRSC,173,TEMBIKAI CHENANG SFRSC,MALAYSIA,PM,NULL,NULL,111.03264971,KM2,-70.00000000,m,-70.00000000,m,1,2022-08-04,2022-08-08,R&M
9,PM415,267,BLOCK PM415 PSC,151,BLOCK PM415 PSC,MALAYSIA,PM,NULL,NULL,3183.10189617,KM2,-60.00000000,m,-80.00000000,m,1,2022-08-04,2022-08-08,R&M
375,SK334,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,6656.91308544,KM2,-10.00000000,m,-180.00000000,m,NULL,2022-08-08,2022-08-08,R&M
11,Block PM409,269,NULL,177,NULL,MYS,PM,1751.13000488,km2,1751.13000488,km2,NULL,m,NULL,m,0,2022-08-04,2022-08-04,PiriGIS
1,SK438,257,BLOCK SK438 PSC,151,BLOCK SK438 PSC,MALAYSIA,SK,NULL,NULL,1457.69163998,KM2,-20.00000000,m,-50.00000000,m,1,2022-08-04,2022-08-08,R&M
305,NULL,198,NULL,157,NULL,NULL,NULL,NULL,1. MMSCFD,NULL,NULL,NULL,NULL,NULL,NULL,1,2022-08-04,2022-08-04,NULL
